fourletter_code,english_name,scientific_name
CCWA,Crescent-chested Warbler,Oreothlypis superciliosa
CRAU,Crested Auklet,Aethia cristatella
CRBO,Crested Bobwhite,Colinus cristatus
CRCA,Crested Caracara,Caracara cheriway
CREA,Crested Eagle,Morphnus guianensis
CRGU,Crested Guan,Penelope purpurascens
CROR,Crested Oropendola,Psarocolius decumanus
CROW,Crested Owl,Lophostrix cristata
CRQD,Crested Quail-Dove,Geotrygon versicolor
CBTA,Crimson-backed Tanager,Ramphocelus dimidiatus
CBWO,Crimson-bellied Woodpecker,Campephilus haematogaster
CCGR,Crimson-collared Grosbeak,Rhodothraupis celaeno
CCTA,Crimson-collared Tanager,Ramphocelus sanguinolentus
CCRW,Crimson-crested Woodpecker,Campephilus melanoleucos
CFPA,Crimson-fronted Parakeet,Psittacara finschi
CRTH,Crissal Thrasher,Toxostoma crissale
CSFL,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus
CRWO,Crowned Woodnymph,Thalurania colombica
CUBH,Cuban Black Hawk,Buteogallus gundlachii
CUBL,Cuban Blackbird,Ptiloxena atroviolacea
CUBU,Cuban Bullfinch,Melopyrrha nigra
CUCR,Cuban Crow,Corvus nasicus
CUEM,Cuban Emerald,Chlorostilbon ricordii
CUGN,Cuban Gnatcatcher,Polioptila lembeyei
CUGR,Cuban Grassquit,Phonipara canora
CGWO,Cuban Green Woodpecker,Xiphidiopicus percussus
CUBM,Cuban Macaw,Ara tricolor
CUMA,Cuban Martin,Progne cryptoleuca
CUOR,Cuban Oriole,Icterus melanopsis
CPAK,Cuban Parakeet,Psittacara euops
CPAT,Cuban Parrot,Amazona leucocephala
CUPE,Cuban Pewee,Contopus caribaeus
CUPO,Cuban Pygmy-Owl,Glaucidium siju
CUSO,Cuban Solitaire,Myadestes elisabeth
CUTO,Cuban Tody,Todus multicolor
CUTR,Cuban Trogon,Priotelus temnurus
CUVI,Cuban Vireo,Vireo gundlachii
CUSA,Curlew Sandpiper,Calidris ferruginea
CBTH,Curve-billed Thrasher,Toxostoma curvirostre
DAPE,Dark Pewee,Contopus lugubris
DBCU,Dark-billed Cuckoo,Coccyzus melacoryphus
DEJU,Dark-eyed Junco,Junco hyemalis
DSFL,Dark-sided Flycatcher,Muscicapa sibirica
DICK,Dickcissel,Spiza americana
DWAN,Dot-winged Antwren,Microrhopias quixensis
DBGR,Double-banded Graytail,Xenerpestes minlosi
DCCO,Double-crested Cormorant,Phalacrocorax auritus
DSTK,Double-striped Thick-knee,Burhinus bistriatus
DTKI,Double-toothed Kite,Harpagus bidentatus
DOVE,Dovekie,Alle alle
DOWO,Downy Woodpecker,Dryobates pubescens
DMAN,Dull-mantled Antbird,Myrmeciza laemosticta
DUNL,Dunlin,Calidris alpina
DUAN,Dusky Antbird,Cercomacroides tyrannina
DUFL,Dusky Flycatcher,Empidonax oberholseri
DUGR,Dusky Grouse,Dendragapus obscurus
DUHU,Dusky Hummingbird,Cynanthus sordidus
DUNI,Dusky Nightjar,Antrostomus saturatus
DUPI,Dusky Pigeon,Patagioenas goodsoni
DUTH,Dusky Thrush,Turdus naumanni
DUWA,Dusky Warbler,Phylloscopus fuscatus
DBJA,Dusky-backed Jacamar,Brachygalba salmoni
DCFL,Dusky-capped Flycatcher,Myiarchus tuberculifer
DFTA,Dusky-faced Tanager,Mitrospingus cassinii
DWCU,Dwarf Cuckoo,Coccycua pumila
DWJA,Dwarf Jay,Cyanolyca nana
DWVI,Dwarf Vireo,Vireo nelsoni
EADO,Eared Dove,Zenaida auriculata
EAGR,Eared Grebe,Podiceps nigricollis
EAPO,Eared Poorwill,Nyctiphrynus mcleodii
EAQU,Eared Quetzal,Euptilotis neoxenus
EABL,Eastern Bluebird,Sialia sialis
EACT,Eastern Chat-Tanager,Calyptophilus frugivorus
EAKI,Eastern Kingbird,Tyrannus tyrannus
EAME,Eastern Meadowlark,Sturnella magna
EAPH,Eastern Phoebe,Sayornis phoebe
EASO,Eastern Screech-Owl,Megascops asio
ESBD,Eastern Spot-billed Duck,Anas zonorhyncha
EATO,Eastern Towhee,Pipilo erythrophthalmus
EWPW,Eastern Whip-poor-will,Antrostomus vociferus
EAWP,Eastern Wood-Pewee,Contopus virens
EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis
EGGO,Egyptian Goose,Alopochen aegyptiaca
ELEU,Elegant Euphonia,Euphonia elegantissima
ELQU,Elegant Quail,Callipepla douglasii
ELTE,Elegant Tern,Thalasseus elegans
ELTR,Elegant Trogon,Trogon elegans
ELOW,Elf Owl,Micrathene whitneyi
EWWA,Elfin-woods Warbler,Setophaga angelae
EMTA,Emerald Tanager,Tangara florida
ECHU,Emerald-chinned Hummingbird,Abeillia abeillei
EMGO,Emperor Goose,Anser canagicus
ERFR,Erckel's Francolin,Pternistis erckelii
ESCU,Eskimo Curlew,Numenius borealis
EUFL,Euler's Flycatcher,Lathrotriccus euleri
EUBB,Eurasian Blackbird,Turdus merula
EUBC,Eurasian Blackcap,Sylvia atricapilla
EUBU,Eurasian Bullfinch,Pyrrhula pyrrhula
EUCD,Eurasian Collared-Dove,Streptopelia decaocto
EUCO,Eurasian Coot,Fulica atra
EUCU,Eurasian Curlew,Numenius arquata
EUDO,Eurasian Dotterel,Charadrius morinellus
EHOB,Eurasian Hobby,Falco subbuteo
EHOO,Eurasian Hoopoe,Upupa epops
EUJA,Eurasian Jackdaw,Corvus monedula
EUKE,Eurasian Kestrel,Falco tinnunculus
EUOY,Eurasian Oystercatcher,Haematopus ostralegus
EUSI,Eurasian Siskin,Spinus spinus
EUSK,Eurasian Skylark,Alauda arvensis
EURS,Eurasian Spoonbill,Platalea leucorodia
ETSP,Eurasian Tree Sparrow,Passer montanus
EUWI,Eurasian Wigeon,Mareca penelope
EUWO,Eurasian Woodcock,Scolopax rusticola
EUWR,Eurasian Wryneck,Jynx torquilla
EUGP,European Golden-Plover,Pluvialis apricaria
EUGO,European Goldfinch,Carduelis carduelis
EURO,European Robin,Erithacus rubecula
EUST,European Starling,Sturnus vulgaris
EUSP,European Storm-Petrel,Hydrobates pelagicus
EUTD,European Turtle-Dove,Streptopelia turtur
EVGR,Evening Grosbeak,Coccothraustes vespertinus
ERFL,Eye-ringed Flatbill,Rhynchocyclus brevirostris
EYTH,Eyebrowed Thrush,Turdus obscurus
FADU,Falcated Duck,Mareca falcata
FTWA,Fan-tailed Warbler,Basileuterus lachrymosus
FECU,Far Eastern Curlew,Numenius madagascariensis
FAAN,Fasciated Antshrike,Cymbilaimus lineatus
FTHE,Fasciated Tiger-Heron,Tigrisoma fasciatum
FEPE,Fea's Petrel,Pterodroma feae
FEFL,Fernandina's Flicker,Colaptes fernandinae
FEHA,Ferruginous Hawk,Buteo regalis
FEPO,Ferruginous Pygmy-Owl,Glaucidium brasilianum
FISP,Field Sparrow,Spizella pusilla
FIEL,Fieldfare,Turdus pilaris
FBAR,Fiery-billed Aracari,Pteroglossus frantzii
FTHU,Fiery-throated Hummingbird,Panterpe insignis
FICR,Fish Crow,Corvus ossifragus
FSSP,Five-striped Sparrow,Amphispiza quinquestriata
FCTA,Flame-colored Tanager,Piranga bidentata
FRTA,Flame-rumped Tanager,Ramphocelus flammigerus
FTHW,Flame-throated Warbler,Oreothlypis gutturalis
FLFL,Flammulated Flycatcher,Deltarhynchus flammulatus
FLOW,Flammulated Owl,Psiloscops flammeolus
FBVI,Flat-billed Vireo,Vireo nanus
FFSH,Flesh-footed Shearwater,Ardenna carneipes
FLSJ,Florida Scrub-Jay,Aphelocoma coerulescens
FOEL,Forest Elaenia,Myiopagis gaimardii
FOTH,Forest Thrush,Turdus lherminieri
FTFL,Fork-tailed Flycatcher,Tyrannus savana
FTSP,Fork-tailed Storm-Petrel,Hydrobates furcatus
FTSW,Fork-tailed Swift,Apus pacificus
FOTE,Forster's Tern,Sterna forsteri
FOSP,Fox Sparrow,Passerella iliaca
FRGU,Franklin's Gull,Leucophaeus pipixcan
FUOW,Fulvous Owl,Strix fulvescens
FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor
FVEU,Fulvous-vented Euphonia,Euphonia fulvicrissa
GADW,Gadwall,Mareca strepera
GAPE,Galapagos Petrel,Pterodroma phaeopygia
GASH,Galapagos Shearwater,Puffinus subalaris
GAQU,Gambel's Quail,Callipepla gambelii
GAEM,Garden Emerald,Chlorostilbon assimilis
GARG,Garganey,Spatula querquedula
GATH,Garnet-throated Hummingbird,Lamprolaima rhami
GATR,Gartered Trogon,Trogon caligatus
GICO,Giant Cowbird,Molothrus oryzivorus
GIKI,Giant Kingbird,Tyrannus cubensis
GIWR,Giant Wren,Campylorhynchus chiapensis
GIWO,Gila Woodpecker,Melanerpes uropygialis
GIFL,Gilded Flicker,Colaptes chrysoides
GLGU,Glaucous Gull,Larus hyperboreus
GWGU,Glaucous-winged Gull,Larus glaucescens
GLIB,Glossy Ibis,Plegadis falcinellus
GLTH,Glow-throated Hummingbird,Selasphorus ardens
GOEA,Golden Eagle,Aquila chrysaetos
GOSW,Golden Swallow,Tachycineta euchrysea
GOVI,Golden Vireo,Vireo hypochryseus
GBFL,Golden-bellied Flycatcher,Myiodynastes hemichrysus
GBCH,Golden-browed Chlorophonia,Chlorophonia callophrys
GBWA,Golden-browed Warbler,Basileuterus belli
GCWA,Golden-cheeked Warbler,Setophaga chrysoparia
GCHW,Golden-cheeked Woodpecker,Melanerpes chrysogenys
GCMA,Golden-collared Manakin,Manacus vitellinus
GCEM,Golden-crowned Emerald,Chlorostilbon auriceps
GOCF,Golden-crowned Flycatcher,Myiodynastes chrysocephalus
GCKI,Golden-crowned Kinglet,Regulus satrapa
GCRS,Golden-crowned Spadebill,Platyrinchus coronatus
GCSP,Golden-crowned Sparrow,Zonotrichia atricapilla
GCRW,Golden-crowned Warbler,Basileuterus culicivorus
GFGR,Golden-fronted Greenlet,Pachysylvia aurantiifrons
GFWO,Golden-fronted Woodpecker,Melanerpes aurifrons
GGWO,Golden-green Woodpecker,Piculus chrysochloros
GHMA,Golden-headed Manakin,Ceratopipra erythrocephala
GHQU,Golden-headed Quetzal,Pharomachrus auriceps
GHOT,Golden-hooded Tanager,Stilpnia larvata
GNWO,Golden-naped Woodpecker,Melanerpes chrysauchen
GOWO,Golden-olive Woodpecker,Colaptes rubiginosus
GWWA,Golden-winged Warbler,Vermivora chrysoptera
GRWA,Grace's Warbler,Setophaga graciae
GCAT,Grand Cayman Thrush,Turdus ravidus
GRSP,Grasshopper Sparrow,Ammodramus savannarum
GRYF,Grassland Yellow-Finch,Sicalis luteola
GRBU,Gray Bunting,Emberiza variabilis
GRCA,Gray Catbird,Dumetella carolinensis
GRAE,Gray Elaenia,Myiopagis caniceps
GRFL,Gray Flycatcher,Empidonax wrightii
GRAF,Gray Francolin,Francolinus pondicerianus
GRGU,Gray Gull,Leucophaeus modestus
GRHA,Gray Hawk,Buteo plagiatus
GRAH,Gray Heron,Ardea cinerea
GRAK,Gray Kingbird,Tyrannus dominicensis
GRNI,Gray Nightjar,Caprimulgus jotaka
GRAP,Gray Partridge,Perdix perdix
GRSF,Gray Silky-flycatcher,Ptiliogonys cinereus
GRAT,Gray Thrasher,Toxostoma cinereum
GRTR,Gray Trembler,Cinclocerthia gutturalis
GRVI,Gray Vireo,Vireo vicinior
GRAW,Gray Wagtail,Motacilla cinerea
GAGT,Gray-and-gold Tanager,Poecilostreptus palmeri
GBAT,Gray-backed Tern,Onychoprion lunatus
GBWR,Gray-barred Wren,Campylorhynchus megalopterus
GBEH,Gray-bellied Hawk,Accipiter poliogaster
GBCR,Gray-breasted Crake,Laterallus exilis
GYBM,Gray-breasted Martin,Progne chalybea
GBWW,Gray-breasted Wood-Wren,Henicorhina leucophrys
GBWO,Gray-breasted Woodpecker,Melanerpes hypopolius
GCCU,Gray-capped Cuckoo,Coccyzus lansbergi
GCAF,Gray-capped Flycatcher,Myiozetetes granadensis
GCNU,Gray-cheeked Nunlet,Nonnula frontalis
GCTH,Gray-cheeked Thrush,Catharus minimus
GCDO,Gray-chested Dove,Leptotila cassinii
GCBE,Gray-collared Becard,Pachyramphus major
GCWR,Gray-cowled Wood-Rail,Aramides cajaneus
GCPT,Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus
GCRF,Gray-crowned Rosy-Finch,Leucosticte tephrocotis
GRCW,Gray-crowned Woodpecker,Colaptes auricularis
GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala
GFPE,Gray-faced Petrel,Pterodroma gouldi
GFQD,Gray-fronted Quail-Dove,Geotrygon caniceps
GHEC,Gray-headed Chachalaca,Ortalis cinereiceps
GHCH,Gray-headed Chickadee,Poecile cinctus
GHDO,Gray-headed Dove,Leptotila plumbeiceps
GHKI,Gray-headed Kite,Leptodon cayanensis
GHPI,Gray-headed Piprites,Piprites griseiceps
GHET,Gray-headed Tanager,Eucometis penicillata
GHGU,Gray-hooded Gull,Chroicocephalus cirrocephalus
GLHA,Gray-lined Hawk,Buteo nitidus
GRSW,Gray-rumped Swift,Chaetura cinereiventris
GSFL,Gray-streaked Flycatcher,Muscicapa griseisticta
GTTA,Gray-tailed Tattler,Tringa brevipes
GTCH,Gray-throated Chat,Granatellus sallaei
GTLE,Gray-throated Leaftosser,Sclerurus albigularis
GRAS,Grayish Saltator,Saltator coerulescens
GRGO,Graylag Goose,Anser anser
GANT,Great Antshrike,Taraba major
GRAU,Great Auk,Pinguinus impennis
GBHA,Great Black Hawk,Buteogallus urubitinga
GBBG,Great Black-backed Gull,Larus marinus
GBHE,Great Blue Heron,Ardea herodias
GRCO,Great Cormorant,Phalacrocorax carbo
GCFL,Great Crested Flycatcher,Myiarchus crinitus
GCTE,Great Crested Tern,Thalasseus bergii
GRCU,Great Curassow,Crax rubra
GREG,Great Egret,Ardea alba
GREF,Great Frigatebird,Fregata minor
GGOW,Great Gray Owl,Strix nebulosa
GGMA,Great Green Macaw,Ara ambiguus
GHOW,Great Horned Owl,Bubo virginianus
GREJ,Great Jacamar,Jacamerops aureus
GKIS,Great Kiskadee,Pitangus sulphuratus
GRKN,Great Knot,Calidris tenuirostris
GRLC,Great Lizard-Cuckoo,Coccyzus merlini
GRPO,Great Potoo,Nyctibius grandis
GRSH,Great Shearwater,Ardenna gravis
GRSK,Great Skua,Stercorarius skua
GSWO,Great Spotted Woodpecker,Dendrocopos major
GSTS,Great Swallow-tailed Swift,Panyptila sanctihieronymi
GRTI,Great Tinamou,Tinamus major
GTGR,Great-tailed Grackle,Quiscalus mexicanus
GRAM,Greater Amakihi,Viridonia sagittirostris
GRTA,Greater Ani,Crotophaga major
GABU,Greater Antillean Bullfinch,Melopyrrha violacea
GAEL,Greater Antillean Elaenia,Elaenia fallax
GAGR,Greater Antillean Grackle,Quiscalus niger
GANI,Greater Antillean Nightjar,Antrostomus cubanensis
GRKF,Greater Koa-Finch,Rhodacanthis palmeri
GNLA,Greater Necklaced Laughingthrush,Garrulax pectoralis
GRPE,Greater Pewee,Contopus pertinax
GRPC,Greater Prairie-Chicken,Tympanuchus cupido
GRRO,Greater Roadrunner,Geococcyx californianus
GRSG,Greater Sage-Grouse,Centrocercus urophasianus
GSAP,Greater Sand-Plover,Charadrius leschenaultii
GRSC,Greater Scaup,Aythya marila
GWFG,Greater White-fronted Goose,Anser albifrons
GRYE,Greater Yellowlegs,Tringa melanoleuca
GREH,Green Hermit,Phaethornis guy
GRHE,Green Heron,Butorides virescens
GRHO,Green Honeycreeper,Chlorophanes spiza
GRIB,Green Ibis,Mesembrinibis cayennensis
GRJA,Green Jay,Cyanocorax yncas
GKIN,Green Kingfisher,Chloroceryle americana
GMAK,Green Manakin,Cryptopipo holochlora
GMAG,Green Mango,Anthracothorax viridis
GREP,Green Parakeet,Psittacara holochlorus
GRSA,Green Sandpiper,Tringa ochropus
GRSV,Green Shrike-Vireo,Vireolanius pulchellus
GRET,Green Thorntail,Discosura conversii
GARK,Green-and-rufous Kingfisher,Chloroceryle inda
GBSP,Green-backed Sparrow,Arremonops chloronotus
GNBM,Green-breasted Mango,Anthracothorax prevostii
GBMG,Green-breasted Mountain-gem,Lampornis sybillae
GCBR,Green-crowned Brilliant,Heliodoxa jacula
GFHU,Green-fronted Hummingbird,Amazilia viridifrons
GFRL,Green-fronted Lancebill,Doryfera ludovicae
GNTA,Green-naped Tanager,Tangara fucosa
GRUP,Green-rumped Parrotlet,Forpus passerinus
GSBR,Green-striped Brushfinch,Arremon virenticeps
GTTO,Green-tailed Towhee,Pipilo chlorurus
GTWA,Green-tailed Warbler,Microligea palustris
GTCA,Green-throated Carib,Eulampis holosericeus
GTMG,Green-throated Mountain-gem,Lampornis viridipallens
GWTE,Green-winged Teal,Anas crecca
GREL,Greenish Elaenia,Myiopagis viridicata
GRPU,Greenish Puffleg,Haplophaedia aureliae
GRDO,Grenada Dove,Leptotila wellsi
GFLY,Grenada Flycatcher,Myiarchus nugator
GBAN,Groove-billed Ani,Crotophaga sulcirostris
GUCA,Guadalupe Caracara,Caracara lutosa
GUJU,Guadalupe Junco,Junco insularis
GUMU,Guadalupe Murrelet,Synthliboramphus hypoleucus
GUSP,Guadalupe Storm-Petrel,Hydrobates macrodactylus
GUWO,Guadeloupe Woodpecker,Melanerpes herminieri
GBTE,Gull-billed Tern,Gelochelidon nilotica
GUHA,Gundlach's Hawk,Accipiter gundlachi
GUSG,Gunnison Sage-Grouse,Centrocercus minimus
GYRF,Gyrfalcon,Falco rusticolus
HAWO,Hairy Woodpecker,Dryobates villosus
HAFL,Hammond's Flycatcher,Empidonax hammondii
HAWR,Happy Wren,Pheugopedius felix
HADU,Harlequin Duck,Histrionicus histrionicus
HAEA,Harpy Eagle,Harpia harpyja
HASH,Harris's Hawk,Parabuteo unicinctus
HASP,Harris's Sparrow,Zonotrichia querula
HAAK,Hawaii Akepa,Loxops coccineus
HAAM,Hawaii Amakihi,Chlorodrepanis virens
HCRE,Hawaii Creeper,Loxops mana
HAEL,Hawaii Elepaio,Chasiempis sandwichensis
HAMA,Hawaii Mamo,Drepanis pacifica
HAOO,Hawaii Oo,Moho nobilis
HACO,Hawaiian Coot,Fulica alai
HCRO,Hawaiian Crow,Corvus hawaiiensis
HAWD,Hawaiian Duck,Anas wyvilliana
HAGO,Hawaiian Goose,Branta sandvicensis
HAWH,Hawaiian Hawk,Buteo solitarius
HAPE,Hawaiian Petrel,Pterodroma sandwichensis
HARA,Hawaiian Rail,Zapornia sandwichensis
HAWF,Hawfinch,Coccothraustes coccothraustes
HEEG,Heermann's Gull,Larus heermanni
HELG,Helmeted Guineafowl,Numida meleagris
HESP,Henslow's Sparrow,Centronyx henslowii
HETA,Hepatic Tanager,Piranga flava
HEPE,Herald Petrel,Pterodroma heraldica
HETH,Hermit Thrush,Catharus guttatus
HEWA,Hermit Warbler,Setophaga occidentalis
HERG,Herring Gull,Larus argentatus
HIGU,Highland Guan,Penelopina nigra
HITI,Highland Tinamou,Nothocercus bonapartei
HISN,Himalayan Snowcock,Tetraogallus himalayensis
HICR,Hispaniolan Crossbill,Loxia megaplaga
HIEM,Hispaniolan Emerald,Chlorostilbon swainsonii
HILC,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris
HIOR,Hispaniolan Oriole,Icterus dominicensis
HPAK,Hispaniolan Parakeet,Psittacara chloropterus
HPAT,Hispaniolan Parrot,Amazona ventralis
HIPE,Hispaniolan Pewee,Contopus hispaniolensis
HISP,Hispaniolan Spindalis,Spindalis dominicensis
HITR,Hispaniolan Trogon,Priotelus roseigaster
HIWO,Hispaniolan Woodpecker,Melanerpes striatus
HORE,Hoary Redpoll,Acanthis hornemanni
HOWO,Hoffmann's Woodpecker,Melanerpes hoffmannii
HOEM,Honduran Emerald,Amazilia luciae
HOCR,Hooded Crow,Corvus cornix
HOOG,Hooded Grosbeak,Coccothraustes abeillei
HOME,Hooded Merganser,Lophodytes cucullatus
HOOR,Hooded Oriole,Icterus cucullatus
HOWA,Hooded Warbler,Setophaga citrina
HOYE,Hooded Yellowthroat,Geothlypis nelsoni
HBKI,Hook-billed Kite,Chondrohierax uncinatus
HOGR,Horned Grebe,Podiceps auritus
HOGU,Horned Guan,Oreophasis derbianus
HOLA,Horned Lark,Eremophila alpestris
HOPU,Horned Puffin,Fratercula corniculata
HOFI,House Finch,Haemorhous mexicanus
HOSP,House Sparrow,Passer domesticus
HOWR,House Wren,Troglodytes aedon
HUGO,Hudsonian Godwit,Limosa haemastica
HUSA,Humboldt's Sapphire,Hylocharis humboldtii
HUVI,Hutton's Vireo,Vireo huttoni
HWAM,Hwamei,Garrulax canorus
ICGU,Iceland Gull,Larus glaucoides
IIWI,Iiwi,Drepanis coccinea
IMPA,Imperial Parrot,Amazona imperialis
IMWO,Imperial Woodpecker,Campephilus imperialis
INWO,Inagua Woodstar,Nesophlox lyrura
INDO,Inca Dove,Columbina inca
INTE,Inca Tern,Larosterna inca
INPE,Indian Peafowl,Pavo cristatus
INSI,Indian Silverbill,Euodice malabarica
INBU,Indigo Bunting,Passerina cyanea
INEG,Intermediate Egret,Ardea intermedia
ISCA,Island Canary,Serinus canaria
ISSJ,Island Scrub-Jay,Aphelocoma insularis
ISWR,Isthmian Wren,Cantorchilus elutus
IVGU,Ivory Gull,Pagophila eburnea
IBIW,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster
IBWO,Ivory-billed Woodpecker,Campephilus principalis
JABI,Jabiru,Jabiru mycteria
JASN,Jack Snipe,Lymnocryptes minimus
JABE,Jamaican Becard,Pachyramphus niger
JABL,Jamaican Blackbird,Nesopsar nigerrimus
JACR,Jamaican Crow,Corvus jamaicensis
JAEL,Jamaican Elaenia,Myiopagis cotta
JAEU,Jamaican Euphonia,Euphonia jamaica
JALC,Jamaican Lizard-Cuckoo,Coccyzus vetula
JAMA,Jamaican Mango,Anthracothorax mango
JAOR,Jamaican Oriole,Icterus leucopteryx
JAOW,Jamaican Owl,Pseudoscops grammicus
JAPA,Jamaican Pauraque,Siphonorhis americana
JAPE,Jamaican Pewee,Contopus pallidus
JAMS,Jamaican Spindalis,Spindalis nigricephala
JATO,Jamaican Tody,Todus todus
JAVI,Jamaican Vireo,Vireo modestus
JAWO,Jamaican Woodpecker,Melanerpes radiolatus
JABW,Japanese Bush-Warbler,Horornis diphone
JAQU,Japanese Quail,Coturnix japonica
JAWE,Japanese White-eye,Zosterops japonicus
JASP,Java Sparrow,Lonchura oryzivora
JEAN,Jet Antbird,Cercomacra nigricans
JOPE,Jouanin's Petrel,Bulweria fallax
JFPE,Juan Fernandez Petrel,Pterodroma externa
JUTI,Juniper Titmouse,Baeolophus ridgwayi
KAKA,Kakawahie,Paroreomyza flammea
KAPH,Kalij Pheasant,Lophura leucomelanos
KAMA,Kamao,Myadestes myadestinus
KLWA,Kamchatka Leaf Warbler,Phylloscopus examinandus
KAAK,Kauai Akialoa,Akialoa stejnegeri
KAAM,Kauai Amakihi,Chlorodrepanis stejnegeri
KAEL,Kauai Elepaio,Chasiempis sclateri
KANU,Kauai Nukupuu,Hemignathus hanapepe
KAOO,Kauai Oo,Moho braccatus
KBMO,Keel-billed Motmot,Electron carinatum
KBTO,Keel-billed Toucan,Ramphastos sulfuratus
KEGU,Kelp Gull,Larus dominicanus
KEWA,Kentucky Warbler,Geothlypis formosa
KEPE,Kermadec Petrel,Pterodroma neglecta
KWQD,Key West Quail-Dove,Geotrygon chrysia
KILL,Killdeer,Charadrius vociferus
KIEI,King Eider,Somateria spectabilis
KIRA,King Rail,Rallus elegans
KIVU,King Vulture,Sarcoramphus papa
KIOE,Kioea,Chaetoptila angustipluma
KIWA,Kirtland's Warbler,Setophaga kirtlandii
KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris
KOGR,Kona Grosbeak,Chloridops kona
LSFL,La Sagra's Flycatcher,Myiarchus sagrae
LSTH,La Selle Thrush,Turdus swalesi
LABD,Labrador Duck,Camptorhynchus labradorius
LBWO,Ladder-backed Woodpecker,Dryobates scalaris
LANH,Lanai Hookbill,Dysmorodrepanis munroi
LATM,Lance-tailed Manakin,Chiroxiphia lanceolata
LAMO,Lanceolated Monklet,Micromonacha lanceolata
LANW,Lanceolated Warbler,Locustella lanceolata
LALO,Lapland Longspur,Calcarius lapponicus
LBSF,Large-billed Seed-Finch,Sporophila crassirostris
LBTE,Large-billed Tern,Phaetusa simplex
LFFI,Large-footed Finch,Pezopetes capitalis
LARB,Lark Bunting,Calamospiza melanocorys
LASP,Lark Sparrow,Chondestes grammacus
LTTR,Lattice-tailed Trogon,Trogon clathratus
LAFA,Laughing Falcon,Herpetotheres cachinnans
LAGU,Laughing Gull,Leucophaeus atricilla
LAVW,Lavender Waxbill,Estrilda caerulescens
LAGO,Lawrence's Goldfinch,Spinus lawrencei
LAAL,Laysan Albatross,Phoebastria immutabilis
LAYD,Laysan Duck,Anas laysanensis
LAFI,Laysan Finch,Telespiza cantans
LAYH,Laysan Honeycreeper,Himatione fraithii
LARA,Laysan Rail,Zapornia palmeri
LAZB,Lazuli Bunting,Passerina amoena
LCSP,LeConte's Sparrow,Ammospiza leconteii
LCTH,LeConte's Thrasher,Toxostoma lecontei
LESP,Leach's Storm-Petrel,Hydrobates leucorhous
LEAU,Least Auklet,Aethia pusilla
LEBI,Least Bittern,Ixobrychus exilis
LEFL,Least Flycatcher,Empidonax minimus
LEGR,Least Grebe,Tachybaptus dominicus
LEPA,Least Pauraque,Siphonorhis brewsteri
LESA,Least Sandpiper,Calidris minutilla
LSTP,Least Storm-Petrel,Hydrobates microsoma
LETE,Least Tern,Sternula antillarum
LSTA,Lemon-spectacled Tanager,Chlorothraupis olivacea
LEAK,Lesser Akialoa,Akialoa obscura
LANB,Lesser Antillean Bullfinch,Loxigilla noctis
LAFL,Lesser Antillean Flycatcher,Myiarchus oberi
LAPE,Lesser Antillean Pewee,Contopus latirostris
LASA,Lesser Antillean Saltator,Saltator albicollis
LASW,Lesser Antillean Swift,Chaetura martinica
LATA,Lesser Antillean Tanager,Stilpnia cucullata
LBBG,Lesser Black-backed Gull,Larus fuscus
LEEL,Lesser Elaenia,Elaenia chiriquensis
LEFR,Lesser Frigatebird,Fregata ariel
LEGO,Lesser Goldfinch,Spinus psaltria
LESG,Lesser Greenlet,Pachysylvia decurtata
LEGC,Lesser Ground-Cuckoo,Morococcyx erythropygus
LEKI,Lesser Kiskadee,Pitangus lictor
LEKF,Lesser Koa-Finch,Rhodacanthis flaviceps
LENI,Lesser Nighthawk,Chordeiles acutipennis
LEPC,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
LERE,Lesser Redpoll,Acanthis cabaret
LERO,Lesser Roadrunner,Geococcyx velox
LSAP,Lesser Sand-Plover,Charadrius mongolus
LESC,Lesser Scaup,Aythya affinis
LSTS,Lesser Swallow-tailed Swift,Panyptila cayennensis
LEVI,Lesser Violetear,Colibri cyanotus
LWFG,Lesser White-fronted Goose,Anser erythropus
LEWH,Lesser Whitethroat,Sylvia curruca
LYHV,Lesser Yellow-headed Vulture,Cathartes burrovianus
LEYE,Lesser Yellowlegs,Tringa flavipes
LEMO,Lesson's Motmot,Momotus lessonii
LEWO,Lewis's Woodpecker,Melanerpes lewis
LMAL,Light-mantled Albatross,Phoebetria palpebrata
LCPA,Lilac-crowned Parrot,Amazona finschi
LIMP,Limpkin,Aramus guarauna
LISP,Lincoln's Sparrow,Melospiza lincolnii
LIFG,Lineated Foliage-gleaner,Syndactyla subalaris
LIWO,Lineated Woodpecker,Dryocopus lineatus
LISE,Lined Seedeater,Sporophila lineola
LIBI,Little Bittern,Ixobrychus minutus
LBHE,Little Blue Heron,Egretta caerulea
LIBU,Little Bunting,Emberiza pusilla
LITC,Little Cuckoo,Coccycua minuta
LICU,Little Curlew,Numenius minutus
LIEG,Little Egret,Egretta garzetta
LIGU,Little Gull,Hydrocoloeus minutus
